test_year,stage,label,support,predicted_positive,precision,recall,f1
2024,mature_factual,Aircraft-Aircraft power plant,121,163,0.6257668711656442,0.8429752066115702,0.7183098591549296
2024,mature_factual,Aircraft-Aircraft propeller/rotor,13,33,0.2727272727272727,0.6923076923076923,0.391304347826087
2024,mature_factual,Aircraft-Aircraft structures,27,18,0.5,0.3333333333333333,0.4
2024,mature_factual,Aircraft-Aircraft systems,169,209,0.583732057416268,0.7218934911242604,0.6455026455026455
2024,mature_factual,Aircraft-Fluids/misc hardware,79,107,0.6074766355140186,0.8227848101265823,0.6989247311827957
2024,mature_factual,Environmental issues-Conditions/weather/phenomena,233,246,0.7195121951219512,0.759656652360515,0.7390396659707724
2024,mature_factual,Environmental issues-Operating environment,7,63,0.06349206349206349,0.5714285714285714,0.11428571428571428
2024,mature_factual,Environmental issues-Physical environment,150,235,0.4553191489361702,0.7133333333333334,0.5558441558441558
2024,mature_factual,Not determined-Not determined,26,100,0.19,0.7307692307692307,0.30158730158730157
2024,mature_factual,Organizational issues-Development,9,23,0.13043478260869565,0.3333333333333333,0.1875
2024,mature_factual,Organizational issues-Management,6,10,0.2,0.3333333333333333,0.25
2024,mature_factual,Organizational issues-Support/oversight/monitoring,7,57,0.05263157894736842,0.42857142857142855,0.09375
2024,mature_factual,Personnel issues-Action/decision,240,342,0.42105263157894735,0.6,0.4948453608247423
2024,mature_factual,Personnel issues-Experience/knowledge,31,30,0.23333333333333334,0.22580645161290322,0.22950819672131148
2024,mature_factual,Personnel issues-Physical,11,33,0.2727272727272727,0.8181818181818182,0.4090909090909091
2024,mature_factual,Personnel issues-Psychological,99,147,0.3673469387755102,0.5454545454545454,0.43902439024390244
2024,mature_factual,Personnel issues-Task performance,571,702,0.707977207977208,0.8704028021015762,0.7808326787117046
2025,event_aircraft_core,Aircraft-Aircraft handling/service,2,150,0.006666666666666667,0.5,0.013157894736842105
2025,event_aircraft_core,Aircraft-Aircraft oper/perf/capability,372,588,0.6037414965986394,0.9543010752688172,0.7395833333333334
2025,event_aircraft_core,Aircraft-Aircraft power plant,19,427,0.02576112412177986,0.5789473684210527,0.04932735426008968
2025,event_aircraft_core,Aircraft-Aircraft propeller/rotor,7,36,0.027777777777777776,0.14285714285714285,0.046511627906976744
2025,event_aircraft_core,Aircraft-Aircraft structures,8,49,0.04081632653061224,0.25,0.07017543859649122
2025,event_aircraft_core,Aircraft-Aircraft systems,107,401,0.22194513715710723,0.8317757009345794,0.35039370078740156
2025,event_aircraft_core,Aircraft-Fluids/misc hardware,49,189,0.14814814814814814,0.5714285714285714,0.23529411764705882
2025,event_aircraft_core,Environmental issues-Conditions/weather/phenomena,159,553,0.2640144665461121,0.9182389937106918,0.4101123595505618
2025,event_aircraft_core,Environmental issues-Operating environment,10,116,0.02586206896551724,0.3,0.047619047619047616
2025,event_aircraft_core,Environmental issues-Physical environment,106,397,0.18639798488664988,0.6981132075471698,0.294234592445328
2025,event_aircraft_core,Not determined-Not determined,14,157,0.03184713375796178,0.35714285714285715,0.05847953216374269
2025,event_aircraft_core,Organizational issues-Development,2,64,0.015625,0.5,0.030303030303030304
2025,event_aircraft_core,Organizational issues-Management,3,24,0.08333333333333333,0.6666666666666666,0.14814814814814814
2025,event_aircraft_core,Organizational issues-Support/oversight/monitoring,4,20,0.05,0.25,0.08333333333333333
2025,event_aircraft_core,Personnel issues-Action/decision,197,652,0.3006134969325153,0.9949238578680203,0.4617196702002356
2025,event_aircraft_core,Personnel issues-Experience/knowledge,19,143,0.02097902097902098,0.15789473684210525,0.037037037037037035
2025,event_aircraft_core,Personnel issues-Physical,8,31,0.06451612903225806,0.25,0.10256410256410256
2025,event_aircraft_core,Personnel issues-Psychological,97,121,0.21487603305785125,0.26804123711340205,0.23853211009174313
2025,event_aircraft_core,Personnel issues-Task performance,414,632,0.6471518987341772,0.9879227053140096,0.7820267686424475
2025,event_aircraft_weather,Aircraft-Aircraft handling/service,2,454,0.004405286343612335,1.0,0.008771929824561403
2025,event_aircraft_weather,Aircraft-Aircraft oper/perf/capability,372,602,0.6013289036544851,0.9731182795698925,0.7433264887063655
2025,event_aircraft_weather,Aircraft-Aircraft power plant,19,438,0.0273972602739726,0.631578947368421,0.0525164113785558
2025,event_aircraft_weather,Aircraft-Aircraft propeller/rotor,7,16,0.0625,0.14285714285714285,0.08695652173913043
2025,event_aircraft_weather,Aircraft-Aircraft structures,8,14,0.07142857142857142,0.125,0.09090909090909091
2025,event_aircraft_weather,Aircraft-Aircraft systems,107,412,0.2087378640776699,0.8037383177570093,0.33140655105973027
2025,event_aircraft_weather,Aircraft-Fluids/misc hardware,49,206,0.1407766990291262,0.5918367346938775,0.22745098039215686
2025,event_aircraft_weather,Environmental issues-Conditions/weather/phenomena,159,334,0.3473053892215569,0.7295597484276729,0.47058823529411764
2025,event_aircraft_weather,Environmental issues-Operating environment,10,25,0.04,0.1,0.05714285714285714
2025,event_aircraft_weather,Environmental issues-Physical environment,106,290,0.21379310344827587,0.5849056603773585,0.31313131313131315
2025,event_aircraft_weather,Not determined-Not determined,14,64,0.03125,0.14285714285714285,0.05128205128205128
2025,event_aircraft_weather,Organizational issues-Development,2,36,0.0,0.0,0.0
2025,event_aircraft_weather,Organizational issues-Management,3,60,0.016666666666666666,0.3333333333333333,0.031746031746031744
2025,event_aircraft_weather,Organizational issues-Support/oversight/monitoring,4,9,0.1111111111111111,0.25,0.15384615384615385
2025,event_aircraft_weather,Personnel issues-Action/decision,197,630,0.3,0.9593908629441624,0.4570737605804111
