method,test_year,label,node_type,parent,support,close_positive_decisions,close_positive_precision,positive_coverage,defer_rate,is_late_emerging
F-DFHC-U full,2024,Environmental issues-Physical environment,child,Environmental issues,150,0,nan,0.0,0.23606889564336375,True
F-DFHC-U full,2024,Not determined-Not determined,child,Not determined,26,0,nan,0.0,0.0,False
F-DFHC-U full,2024,Organizational issues-Support/oversight/monitoring,child,Organizational issues,7,0,nan,0.0,0.0010131712259371373,False
F-DFHC-U full,2024,Personnel issues-Action/decision,child,Personnel issues,240,0,nan,0.0,0.8166160081053698,False
F-DFHC-U full,2024,Personnel issues-Experience/knowledge,child,Personnel issues,31,0,nan,0.0,0.0,False
F-DFHC-U full,2024,Personnel issues-Physical,child,Personnel issues,11,0,nan,0.0,0.0,False
F-DFHC-U full,2024,Personnel issues-Psychological,child,Personnel issues,99,0,nan,0.0,0.0,True
F-DFHC-U full,2024,Personnel issues-Task performance,child,Personnel issues,571,0,nan,0.0,0.9685916919959473,False
F-DFHC-U w/o projection,2024,Aircraft,parent,Aircraft,790,154,0.922077922077922,0.17974683544303796,0.8439716312056738,False
F-DFHC-U w/o projection,2024,Personnel issues,parent,Personnel issues,756,0,nan,0.0,1.0,False
F-DFHC-U w/o projection,2024,Environmental issues,parent,Environmental issues,369,0,nan,0.0,0.7274569402228976,False
F-DFHC-U w/o projection,2024,Organizational issues,parent,Organizational issues,7,0,nan,0.0,0.0010131712259371373,False
F-DFHC-U w/o projection,2024,Not determined,parent,Not determined,26,0,nan,0.0,0.0,False
F-DFHC-U w/o projection,2024,Aircraft-Aircraft handling/service,child,Aircraft,6,0,nan,0.0,0.0,False
F-DFHC-U w/o projection,2024,Aircraft-Aircraft oper/perf/capability,child,Aircraft,484,5,0.8,0.008264462809917356,0.7801418439716312,False
F-DFHC-U w/o projection,2024,Aircraft-Aircraft power plant,child,Aircraft,121,26,0.9615384615384616,0.2066115702479339,0.025329280648429542,False
F-DFHC-U w/o projection,2024,Aircraft-Aircraft propeller/rotor,child,Aircraft,13,0,nan,0.0,0.0,False
F-DFHC-U w/o projection,2024,Aircraft-Aircraft structures,child,Aircraft,27,0,nan,0.0,0.0,False
F-DFHC-U w/o projection,2024,Aircraft-Aircraft systems,child,Aircraft,169,7,1.0,0.04142011834319527,0.09118541033434646,True
F-DFHC-U w/o projection,2024,Aircraft-Fluids/misc hardware,child,Aircraft,79,3,1.0,0.0379746835443038,0.0,True
F-DFHC-U w/o projection,2024,Environmental issues-Conditions/weather/phenomena,child,Environmental issues,233,0,nan,0.0,0.3444782168186423,True
F-DFHC-U w/o projection,2024,Environmental issues-Operating environment,child,Environmental issues,7,0,nan,0.0,0.0,False
F-DFHC-U w/o projection,2024,Environmental issues-Physical environment,child,Environmental issues,150,0,nan,0.0,0.23809523809523814,True
F-DFHC-U w/o projection,2024,Not determined-Not determined,child,Not determined,26,0,nan,0.0,0.0,False
F-DFHC-U w/o projection,2024,Organizational issues-Support/oversight/monitoring,child,Organizational issues,7,0,nan,0.0,0.0010131712259371373,False
F-DFHC-U w/o projection,2024,Personnel issues-Action/decision,child,Personnel issues,240,0,nan,0.0,0.8166160081053698,False
F-DFHC-U w/o projection,2024,Personnel issues-Experience/knowledge,child,Personnel issues,31,0,nan,0.0,0.0,False
F-DFHC-U w/o projection,2024,Personnel issues-Physical,child,Personnel issues,11,0,nan,0.0,0.0,False
F-DFHC-U w/o projection,2024,Personnel issues-Psychological,child,Personnel issues,99,0,nan,0.0,0.0,True
F-DFHC-U w/o projection,2024,Personnel issues-Task performance,child,Personnel issues,571,0,nan,0.0,0.9685916919959473,False
BR-TFIDF threshold,2025,Aircraft,parent,Aircraft,530,616,0.8376623376623377,0.9735849056603774,0.0,False
BR-TFIDF threshold,2025,Personnel issues,parent,Personnel issues,552,646,0.8436532507739938,0.9873188405797102,0.0,False
BR-TFIDF threshold,2025,Environmental issues,parent,Environmental issues,254,620,0.4032258064516129,0.984251968503937,0.0,False
BR-TFIDF threshold,2025,Organizational issues,parent,Organizational issues,5,4,0.0,0.0,0.0,False
BR-TFIDF threshold,2025,Not determined,parent,Not determined,14,9,0.0,0.0,0.0,False
BR-TFIDF threshold,2025,Aircraft-Aircraft handling/service,child,Aircraft,2,84,0.0,0.0,0.0,False
BR-TFIDF threshold,2025,Aircraft-Aircraft oper/perf/capability,child,Aircraft,372,571,0.626970227670753,0.9623655913978495,0.0,False
BR-TFIDF threshold,2025,Aircraft-Aircraft power plant,child,Aircraft,19,19,0.368421052631579,0.3684210526315789,0.0,False
BR-TFIDF threshold,2025,Aircraft-Aircraft propeller/rotor,child,Aircraft,7,1,1.0,0.14285714285714285,0.0,False
BR-TFIDF threshold,2025,Aircraft-Aircraft structures,child,Aircraft,8,19,0.052631578947368474,0.125,0.0,False
BR-TFIDF threshold,2025,Aircraft-Aircraft systems,child,Aircraft,107,129,0.3178294573643411,0.38317757009345793,0.0,True
BR-TFIDF threshold,2025,Aircraft-Fluids/misc hardware,child,Aircraft,49,47,0.19148936170212771,0.1836734693877551,0.0,True
BR-TFIDF threshold,2025,Environmental issues-Conditions/weather/phenomena,child,Environmental issues,159,334,0.344311377245509,0.7232704402515723,0.0,True
BR-TFIDF threshold,2025,Environmental issues-Operating environment,child,Environmental issues,10,5,0.0,0.0,0.0,False
BR-TFIDF threshold,2025,Environmental issues-Physical environment,child,Environmental issues,106,324,0.2098765432098766,0.6415094339622641,0.0,True
BR-TFIDF threshold,2025,Not determined-Not determined,child,Not determined,14,9,0.0,0.0,0.0,False
BR-TFIDF threshold,2025,Organizational issues-Development,child,Organizational issues,2,0,nan,0.0,0.0,False
BR-TFIDF threshold,2025,Organizational issues-Management,child,Organizational issues,3,12,0.0,0.0,0.0,False
BR-TFIDF threshold,2025,Organizational issues-Support/oversight/monitoring,child,Organizational issues,4,8,0.0,0.0,0.0,False
BR-TFIDF threshold,2025,Personnel issues-Action/decision,child,Personnel issues,197,467,0.3233404710920771,0.766497461928934,0.0,False
BR-TFIDF threshold,2025,Personnel issues-Experience/knowledge,child,Personnel issues,19,352,0.03693181818181823,0.6842105263157895,0.0,False
BR-TFIDF threshold,2025,Personnel issues-Physical,child,Personnel issues,8,15,0.1333333333333333,0.25,0.0,False
BR-TFIDF threshold,2025,Personnel issues-Psychological,child,Personnel issues,97,227,0.19383259911894268,0.4536082474226804,0.0,True
BR-TFIDF threshold,2025,Personnel issues-Task performance,child,Personnel issues,414,622,0.6495176848874598,0.9758454106280193,0.0,False
ES3D,2025,Aircraft,parent,Aircraft,530,434,0.8548387096774194,0.7,0.09480122324159024,False
ES3D,2025,Personnel issues,parent,Personnel issues,552,597,0.8592964824120604,0.9293478260869565,0.013761467889908285,False
ES3D,2025,Environmental issues,parent,Environmental issues,254,445,0.4539325842696629,0.7952755905511811,0.10244648318042815,False
ES3D,2025,Organizational issues,parent,Organizational issues,5,4,0.0,0.0,0.006116207951070374,False
ES3D,2025,Not determined,parent,Not determined,14,9,0.0,0.0,0.012232415902140636,False
ES3D,2025,Aircraft-Aircraft handling/service,child,Aircraft,2,1,0.0,0.0,0.001529051987767538,False
ES3D,2025,Aircraft-Aircraft oper/perf/capability,child,Aircraft,372,505,0.6435643564356436,0.8736559139784946,0.059633027522935755,False
ES3D,2025,Aircraft-Aircraft power plant,child,Aircraft,19,19,0.368421052631579,0.3684210526315789,0.003058103975535187,False
ES3D,2025,Aircraft-Aircraft propeller/rotor,child,Aircraft,7,1,1.0,0.14285714285714285,0.0,False
ES3D,2025,Aircraft-Aircraft structures,child,Aircraft,8,7,0.0,0.0,0.003058103975535187,False
ES3D,2025,Aircraft-Aircraft systems,child,Aircraft,107,1,1.0,0.009345794392523364,0.7629969418960245,True
ES3D,2025,Aircraft-Fluids/misc hardware,child,Aircraft,49,2,1.0,0.04081632653061224,0.5749235474006116,True
ES3D,2025,Environmental issues-Conditions/weather/phenomena,child,Environmental issues,159,3,0.33333333333333337,0.006289308176100629,0.944954128440367,True
ES3D,2025,Environmental issues-Operating environment,child,Environmental issues,10,5,0.0,0.0,0.004587155963302725,False
ES3D,2025,Environmental issues-Physical environment,child,Environmental issues,106,0,nan,0.0,0.9541284403669725,True
ES3D,2025,Not determined-Not determined,child,Not determined,14,9,0.0,0.0,0.012232415902140636,False
ES3D,2025,Organizational issues-Development,child,Organizational issues,2,0,nan,0.0,0.0,False
ES3D,2025,Organizational issues-Management,child,Organizational issues,3,1,0.0,0.0,0.003058103975535187,False
ES3D,2025,Organizational issues-Support/oversight/monitoring,child,Organizational issues,4,4,0.0,0.0,0.006116207951070374,False
ES3D,2025,Personnel issues-Action/decision,child,Personnel issues,197,286,0.32167832167832167,0.467005076142132,0.1437308868501529,False
ES3D,2025,Personnel issues-Experience/knowledge,child,Personnel issues,19,37,0.05405405405405406,0.10526315789473684,0.01834862385321101,False
ES3D,2025,Personnel issues-Physical,child,Personnel issues,8,14,0.1428571428571429,0.25,0.001529051987767538,False
ES3D,2025,Personnel issues-Psychological,child,Personnel issues,97,0,nan,0.0,0.882262996941896,True
ES3D,2025,Personnel issues-Task performance,child,Personnel issues,414,485,0.6701030927835052,0.785024154589372,0.07798165137614677,False
Labelwise RCPS,2025,Aircraft,parent,Aircraft,530,0,nan,0.0,0.9847094801223242,False
Labelwise RCPS,2025,Personnel issues,parent,Personnel issues,552,0,nan,0.0,1.0,False
Labelwise RCPS,2025,Environmental issues,parent,Environmental issues,254,0,nan,0.0,0.9571865443425076,False
