method,test_year,label,node_type,parent,support,close_positive_decisions,close_positive_precision,positive_coverage,defer_rate,is_late_emerging
LTT without hierarchy,2023,Aircraft-Aircraft structures,child,Aircraft,27,0,nan,0.0,0.0,False
LTT without hierarchy,2023,Aircraft-Aircraft systems,child,Aircraft,200,0,nan,0.0,0.05695687550854356,True
LTT without hierarchy,2023,Aircraft-Fluids/misc hardware,child,Aircraft,106,0,nan,0.0,0.0,True
LTT without hierarchy,2023,Environmental issues-Conditions/weather/phenomena,child,Environmental issues,267,0,nan,0.0,0.32465419039869814,True
LTT without hierarchy,2023,Environmental issues-Physical environment,child,Environmental issues,188,0,nan,0.0,0.46867371847030104,True
LTT without hierarchy,2023,Not determined-Not determined,child,Not determined,68,0,nan,0.0,0.0,False
LTT without hierarchy,2023,Personnel issues-Action/decision,child,Personnel issues,373,0,nan,0.0,0.9137510170870626,False
LTT without hierarchy,2023,Personnel issues-Experience/knowledge,child,Personnel issues,48,0,nan,0.0,0.0,False
LTT without hierarchy,2023,Personnel issues-Physical,child,Personnel issues,22,0,nan,0.0,0.0,False
LTT without hierarchy,2023,Personnel issues-Psychological,child,Personnel issues,145,0,nan,0.0,0.01464605370219696,True
LTT without hierarchy,2023,Personnel issues-Task performance,child,Personnel issues,684,0,nan,0.0,0.983726606997559,False
F-DFHC without utility,2023,Aircraft,parent,Aircraft,969,78,0.8974358974358975,0.07223942208462332,0.9316517493897478,False
F-DFHC without utility,2023,Personnel issues,parent,Personnel issues,931,81,0.9012345679012346,0.07841031149301826,0.934092758340114,False
F-DFHC without utility,2023,Environmental issues,parent,Environmental issues,429,0,nan,0.0,0.6078112286411717,False
F-DFHC without utility,2023,Not determined,parent,Not determined,68,0,nan,0.0,0.0,False
F-DFHC without utility,2023,Aircraft-Aircraft oper/perf/capability,child,Aircraft,589,0,nan,0.0,0.6851098454027664,False
F-DFHC without utility,2023,Aircraft-Aircraft power plant,child,Aircraft,175,0,nan,0.0,0.029292107404393808,False
F-DFHC without utility,2023,Aircraft-Aircraft propeller/rotor,child,Aircraft,20,0,nan,0.0,0.0,False
F-DFHC without utility,2023,Aircraft-Aircraft structures,child,Aircraft,27,0,nan,0.0,0.0,False
F-DFHC without utility,2023,Aircraft-Aircraft systems,child,Aircraft,200,0,nan,0.0,0.017900732302685074,True
F-DFHC without utility,2023,Aircraft-Fluids/misc hardware,child,Aircraft,106,0,nan,0.0,0.0,True
F-DFHC without utility,2023,Environmental issues-Conditions/weather/phenomena,child,Environmental issues,267,0,nan,0.0,0.25630593978844585,True
F-DFHC without utility,2023,Environmental issues-Physical environment,child,Environmental issues,188,0,nan,0.0,0.28641171684296174,True
F-DFHC without utility,2023,Not determined-Not determined,child,Not determined,68,0,nan,0.0,0.0,False
F-DFHC without utility,2023,Personnel issues-Action/decision,child,Personnel issues,373,0,nan,0.0,0.8275020341741253,False
F-DFHC without utility,2023,Personnel issues-Experience/knowledge,child,Personnel issues,48,0,nan,0.0,0.0,False
F-DFHC without utility,2023,Personnel issues-Physical,child,Personnel issues,22,0,nan,0.0,0.0,False
F-DFHC without utility,2023,Personnel issues-Psychological,child,Personnel issues,145,0,nan,0.0,0.0008136696501220841,True
F-DFHC without utility,2023,Personnel issues-Task performance,child,Personnel issues,684,0,nan,0.0,0.983726606997559,False
F-DFHC-U full,2023,Aircraft,parent,Aircraft,969,169,0.9053254437869822,0.15789473684210525,0.8576078112286412,False
F-DFHC-U full,2023,Personnel issues,parent,Personnel issues,931,81,0.9012345679012346,0.07841031149301826,0.934092758340114,False
F-DFHC-U full,2023,Environmental issues,parent,Environmental issues,429,0,nan,0.0,0.6598860862489829,False
F-DFHC-U full,2023,Not determined,parent,Not determined,68,0,nan,0.0,0.0,False
F-DFHC-U full,2023,Aircraft-Aircraft oper/perf/capability,child,Aircraft,589,4,0.75,0.0050933786078098476,0.727420667209113,False
F-DFHC-U full,2023,Aircraft-Aircraft power plant,child,Aircraft,175,32,0.9375,0.17142857142857143,0.0211554109031733,False
F-DFHC-U full,2023,Aircraft-Aircraft propeller/rotor,child,Aircraft,20,0,nan,0.0,0.0,False
F-DFHC-U full,2023,Aircraft-Aircraft structures,child,Aircraft,27,0,nan,0.0,0.0,False
F-DFHC-U full,2023,Aircraft-Aircraft systems,child,Aircraft,200,9,0.8888888888888888,0.04,0.04963384865744502,True
F-DFHC-U full,2023,Aircraft-Fluids/misc hardware,child,Aircraft,106,5,0.8,0.03773584905660377,0.0,True
F-DFHC-U full,2023,Environmental issues-Conditions/weather/phenomena,child,Environmental issues,267,0,nan,0.0,0.32465419039869814,True
F-DFHC-U full,2023,Environmental issues-Physical environment,child,Environmental issues,188,0,nan,0.0,0.45972335231895856,True
F-DFHC-U full,2023,Not determined-Not determined,child,Not determined,68,0,nan,0.0,0.0,False
F-DFHC-U full,2023,Personnel issues-Action/decision,child,Personnel issues,373,0,nan,0.0,0.9137510170870626,False
F-DFHC-U full,2023,Personnel issues-Experience/knowledge,child,Personnel issues,48,0,nan,0.0,0.0,False
F-DFHC-U full,2023,Personnel issues-Physical,child,Personnel issues,22,0,nan,0.0,0.0,False
F-DFHC-U full,2023,Personnel issues-Psychological,child,Personnel issues,145,0,nan,0.0,0.01464605370219696,True
F-DFHC-U full,2023,Personnel issues-Task performance,child,Personnel issues,684,0,nan,0.0,0.983726606997559,False
F-DFHC-U w/o projection,2023,Aircraft,parent,Aircraft,969,169,0.9053254437869822,0.15789473684210525,0.8576078112286412,False
F-DFHC-U w/o projection,2023,Personnel issues,parent,Personnel issues,931,81,0.9012345679012346,0.07841031149301826,0.934092758340114,False
F-DFHC-U w/o projection,2023,Environmental issues,parent,Environmental issues,429,0,nan,0.0,0.6598860862489829,False
F-DFHC-U w/o projection,2023,Not determined,parent,Not determined,68,0,nan,0.0,0.0,False
F-DFHC-U w/o projection,2023,Aircraft-Aircraft oper/perf/capability,child,Aircraft,589,4,0.75,0.0050933786078098476,0.727420667209113,False
F-DFHC-U w/o projection,2023,Aircraft-Aircraft power plant,child,Aircraft,175,32,0.9375,0.17142857142857143,0.0211554109031733,False
F-DFHC-U w/o projection,2023,Aircraft-Aircraft propeller/rotor,child,Aircraft,20,0,nan,0.0,0.0,False
F-DFHC-U w/o projection,2023,Aircraft-Aircraft structures,child,Aircraft,27,0,nan,0.0,0.0,False
F-DFHC-U w/o projection,2023,Aircraft-Aircraft systems,child,Aircraft,200,9,0.8888888888888888,0.04,0.04963384865744502,True
F-DFHC-U w/o projection,2023,Aircraft-Fluids/misc hardware,child,Aircraft,106,5,0.8,0.03773584905660377,0.0,True
F-DFHC-U w/o projection,2023,Environmental issues-Conditions/weather/phenomena,child,Environmental issues,267,0,nan,0.0,0.32465419039869814,True
F-DFHC-U w/o projection,2023,Environmental issues-Physical environment,child,Environmental issues,188,0,nan,0.0,0.46867371847030104,True
F-DFHC-U w/o projection,2023,Not determined-Not determined,child,Not determined,68,0,nan,0.0,0.0,False
F-DFHC-U w/o projection,2023,Personnel issues-Action/decision,child,Personnel issues,373,0,nan,0.0,0.9137510170870626,False
F-DFHC-U w/o projection,2023,Personnel issues-Experience/knowledge,child,Personnel issues,48,0,nan,0.0,0.0,False
F-DFHC-U w/o projection,2023,Personnel issues-Physical,child,Personnel issues,22,0,nan,0.0,0.0,False
F-DFHC-U w/o projection,2023,Personnel issues-Psychological,child,Personnel issues,145,0,nan,0.0,0.01464605370219696,True
F-DFHC-U w/o projection,2023,Personnel issues-Task performance,child,Personnel issues,684,0,nan,0.0,0.983726606997559,False
