method,test_year,calibration_year,closed_precision,aggregate_closed_precision,close_positive_precision,positive_coverage,event_positive_coverage,event_close_positive_rate,event_any_closure_rate,defer_rate,workload_reduction,overall_coverage,empirical_all_risk,empirical_plus_risk,certified_all_bound,certified_plus_bound,certified_hierarchy_bound,certified_late_bound,lower_positive_coverage,parent_close_positive_precision,child_close_positive_precision,parent_positive_coverage,child_positive_coverage,parent_f1,child_f1,raw_hierarchy_violations,projected_hierarchy_violations,projection_action_changes,projection_change_rate,late_premature_closure_risk,closed_decisions,wrong_closed_decisions,close_positive_decisions,true_positive_closed,truth_positive_total,child_positive_alpha,parent_positive_alpha,personnel_parent_positive_alpha,parent_positive_floor,negative_alpha,late_positive_alpha,min_count,reliability_floor,reliability_min_count,child_reliability_lcb_floor,child_reliability_min_count,aircraft_child_floor,child_margin
Labelwise RCPS,2024,2023,0.9784010315925209,0.9666595578303832,0.0,0.0,0.0,0.0,1.0,0.3521691074882564,0.6478308925117435,0.6478308925117435,0.021598968407479047,0.0,0.034740313384979654,0.006997874303197169,0.007440973040365768,0.006997874303197169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,0,0.0,0.0,14067,469,0,0,4222,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Instancewise RCPS,2024,2023,0.9634797826287188,0.9502603023270401,0.9289617486338798,0.04026527711984841,0.14994934143870314,0.16210739614994935,1.0,0.26577323385834023,0.7342267661416597,0.7342267661416597,0.0365202173712812,0.0121580547112462,0.07204642253757043,0.04673692211707091,0.02406519203264302,0.0024306174308233496,0.007045475253351176,0.922077922077922,0.9655172413793104,0.0728952772073922,0.012313104661389622,0.1351094196003806,0.0243161094224924,8,8,0,0.0,0.0,15943,793,183,170,4222,0.06,0.08,0.0,0.0,0.12,0.0,3,0.0,20,0.0,20,0.0,0.0
LTT without hierarchy,2024,2023,0.9634797826287188,0.9502603023270401,0.9289617486338798,0.04026527711984841,0.14994934143870314,0.16210739614994935,1.0,0.26577323385834023,0.7342267661416597,0.7342267661416597,0.0365202173712812,0.0121580547112462,0.07204642253757043,0.04673692211707091,0.02406519203264302,0.0024306174308233496,0.007045475253351176,0.922077922077922,0.9655172413793104,0.0728952772073922,0.012313104661389622,0.1351094196003806,0.0243161094224924,8,8,0,0.0,0.0,15943,793,183,170,4222,0.06,0.08,0.0,0.0,0.12,0.0,3,0.0,20,0.0,20,0.0,0.0
F-DFHC without utility,2024,2023,0.9640784747167725,0.9505985179555386,1.0,0.006395073424917101,0.02735562310030395,0.02735562310030395,1.0,0.2728654324399005,0.7271345675600994,0.7271345675600994,0.03592152528322741,0.0,0.07149128030606591,0.02574710778419938,0.0,0.0024306174308233496,0.0,1.0,0.0,0.013860369609856264,0.0,0.027341772151898733,0.0,2,0,2,9.210647508519849e-05,0.0,15789,780,27,27,4222,0.0,0.04,0.0,0.0,0.12,0.0,3,0.0,20,0.0,20,0.0,0.0
F-DFHC-U full,2024,2023,0.963571889103804,0.9504199573774602,0.9282051282051282,0.042870677404073895,0.14387031408308004,0.15602836879432624,1.0,0.26526664824537166,0.7347333517546284,0.7347333517546283,0.036428110896196,0.012664640324214792,0.07202288394796422,0.04726540302208593,0.0,0.0024306174308233496,0.008350968493540216,0.922077922077922,0.9512195121951219,0.0728952772073922,0.017150395778364115,0.1351094196003806,0.033693304535637146,2,0,2,9.210647508519849e-05,0.0,15954,791,195,181,4222,0.0,0.08,0.06,0.72,0.12,0.0,3,0.0,20,0.85,20,0.875,0.0
F-DFHC-U w/o projection,2024,2023,0.963571889103804,0.9504137412236711,0.9282051282051282,0.042870677404073895,0.14387031408308004,0.15602836879432624,1.0,0.26535875472045684,0.7346412452795431,0.7346412452795431,0.036428110896196,0.012664640324214792,0.07202288394796422,0.04726540302208593,0.0,0.0024306174308233496,0.008350968493540216,0.922077922077922,0.9512195121951219,0.0728952772073922,0.017150395778364115,0.1351094196003806,0.033693304535637146,2,2,0,0.0,0.0,15952,791,195,181,4222,0.0,0.08,0.06,0.72,0.12,0.0,3,0.0,20,0.85,20,0.875,0.0
BR-TFIDF threshold,2025,2024,0.8061926605504587,0.8061926605504587,0.49124513618677046,0.8553523035230353,0.9831804281345565,1.0,1.0,0.0,1.0,1.0,0.1938073394495413,0.5024917148770359,nan,nan,nan,nan,nan,0.691820580474934,0.3741140215716487,0.9675276752767528,0.7601753287413902,0.8067692307692308,0.5014456836018174,58,58,0,0.0,0.2397553516819572,15696,3042,5140,2525,2952,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ES3D,2025,2024,0.9055810397553516,0.8826881975777725,0.6427326594632277,0.6246612466124661,0.9571865443425076,1.0,1.0,0.1951452599388379,0.8048547400611621,0.8048547400611621,0.09441896024464831,0.3577896704043493,nan,nan,nan,nan,nan,0.7293485560779046,0.5492753623188406,0.8014760147601476,0.4746399499060739,0.7637130801687764,0.5092374874034262,476,476,0,0.0,0.0006116207951070337,12633,1482,2869,1844,2952,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Labelwise RCPS,2025,2024,0.9848369011213048,0.9757785467128027,0.0,0.0,0.0,0.0,1.0,0.37398063200815496,0.6260193679918451,0.6260193679918451,0.015163098878695208,0.0,0.028752043432450657,0.008729599789992411,0.010038279290161272,0.008729599789992411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,18,0,0.0,0.0,9826,238,0,0,2952,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Instancewise RCPS,2025,2024,0.9652140672782875,0.9534923339011925,0.8918918918918919,0.03353658536585366,0.14678899082568808,0.1620795107033639,1.0,0.2520387359836901,0.7479612640163099,0.7479612640163098,0.034785932721712536,0.016819571865443424,0.0727941056682603,0.0699053789650459,0.03007028050537626,0.0030305882084813995,0.027338901653074302,0.9047619047619048,0.6666666666666666,0.07011070110701106,0.002504696305572949,0.13013698630136986,0.004990642545227698,3,3,0,0.0,0.0,11740,546,111,99,2952,0.08,0.08,0.0,0.0,0.14,0.0,3,0.0,20,0.0,20,0.0,0.0
LTT without hierarchy,2025,2024,0.9652140672782875,0.9534923339011925,0.8918918918918919,0.03353658536585366,0.14678899082568808,0.1620795107033639,1.0,0.2520387359836901,0.7479612640163099,0.7479612640163098,0.034785932721712536,0.016819571865443424,0.0727941056682603,0.0699053789650459,0.03007028050537626,0.0030305882084813995,0.027338901653074302,0.9047619047619048,0.6666666666666666,0.07011070110701106,0.002504696305572949,0.13013698630136986,0.004990642545227698,3,3,0,0.0,0.0,11740,546,111,99,2952,0.08,0.08,0.0,0.0,0.14,0.0,3,0.0,20,0.0,20,0.0,0.0
F-DFHC without utility,2025,2024,0.9656600407747197,0.9536981358989778,1.0,0.0013550135501355014,0.0061162079510703364,0.0061162079510703364,1.0,0.2583460754332314,0.7416539245667686,0.7416539245667686,0.03433995922528032,0.0,0.07442611746535016,0.0321174386382696,0.0,0.0030305882084813995,0.0,1.0,0.0,0.002952029520295203,0.0,0.005886681383370125,0.0,2,0,2,0.00012742099898063202,0.0,11641,539,4,4,2952,0.0,0.04,0.0,0.0,0.14,0.0,3,0.0,20,0.0,20,0.0,0.0
F-DFHC-U full,2025,2024,0.9651503567787971,0.9534349195539287,0.9035087719298246,0.03489159891598916,0.1452599388379205,0.16055045871559634,1.0,0.2515927624872579,0.7484072375127421,0.7484072375127421,0.03484964322120285,0.016055045871559634,0.07322726830709872,0.06748223057889503,0.0,0.004797240990526346,0.027954513538120805,0.9047619047619048,0.8888888888888888,0.07011070110701106,0.005009392611145898,0.13013698630136986,0.009962640099626401,2,0,2,0.00012742099898063202,0.0,11747,547,114,103,2952,0.0,0.08,0.0,0.0,0.14,0.0,3,0.0,20,0.85,20,0.875,0.0
F-DFHC-U w/o projection,2025,2024,0.9652140672782875,0.9535121328224776,0.9035087719298246,0.03489159891598916,0.1452599388379205,0.16055045871559634,1.0,0.25172018348623854,0.7482798165137615,0.7482798165137615,0.034785932721712536,0.016055045871559634,0.07322726830709872,0.06748223057889503,0.0,0.004797240990526346,0.027954513538120805,0.9047619047619048,0.8888888888888888,0.07011070110701106,0.005009392611145898,0.13013698630136986,0.009962640099626401,2,2,0,0.0,0.0,11745,546,114,103,2952,0.0,0.08,0.0,0.0,0.14,0.0,3,0.0,20,0.85,20,0.875,0.0
