positive_alpha,negative_alpha,late_positive_alpha,min_count,candidate_count,coverage,positive_coverage,empirical_all_risk,empirical_plus_risk,empirical_hierarchy_risk,empirical_late_risk,upper_all_risk,upper_plus_risk,upper_hierarchy_risk,upper_late_risk,feasible,test_year
0.0,0.08,0.01,5,27,0.7358307453416149,0.004025494800402549,0.0328513198757764,0.0,0.0,0.0,0.04989603441767142,0.012663303351677768,0.0,0.012663303351677768,True,2023
0.0,0.08,0.02,5,27,0.7358307453416149,0.004025494800402549,0.0328513198757764,0.0,0.0,0.0,0.04989603441767142,0.012663303351677768,0.0,0.012663303351677768,True,2023
0.0,0.09,0.0,5,27,0.7627620341614907,0.004025494800402549,0.03872282608695652,0.0,0.0,0.0,0.05596746294586098,0.012663303351677768,0.0,0.012663303351677768,True,2023
0.0,0.09,0.01,5,27,0.7627620341614907,0.004025494800402549,0.03872282608695652,0.0,0.0,0.0,0.05596746294586098,0.012663303351677768,0.0,0.012663303351677768,True,2023
0.0,0.09,0.02,5,27,0.7627620341614907,0.004025494800402549,0.03872282608695652,0.0,0.0,0.0,0.05596746294586098,0.012663303351677768,0.0,0.012663303351677768,True,2023
0.0,0.055,0.0,5,27,0.6753954221818703,0.00847457627118644,0.020499832751947243,0.0,0.0,0.0,0.037212241035065666,0.013250139360657956,0.0,0.013250139360657956,True,2024
0.0,0.055,0.01,5,27,0.6753954221818703,0.00847457627118644,0.020499832751947243,0.0,0.0,0.0,0.037212241035065666,0.013250139360657956,0.0,0.013250139360657956,True,2024
0.0,0.055,0.02,5,27,0.6753954221818703,0.00847457627118644,0.020499832751947243,0.0,0.0,0.0,0.037212241035065666,0.013250139360657956,0.0,0.013250139360657956,True,2024
0.0,0.06,0.0,5,27,0.6858603717685287,0.00847457627118644,0.021742246858125865,0.0,0.0,0.0,0.03856058771250896,0.013250139360657956,0.0,0.013250139360657956,True,2024
0.0,0.06,0.01,5,27,0.6858603717685287,0.00847457627118644,0.021742246858125865,0.0,0.0,0.0,0.03856058771250896,0.013250139360657956,0.0,0.013250139360657956,True,2024
0.0,0.06,0.02,5,27,0.6858603717685287,0.00847457627118644,0.021742246858125865,0.0,0.0,0.0,0.03856058771250896,0.013250139360657956,0.0,0.013250139360657956,True,2024
0.0,0.065,0.0,5,27,0.7080326850480241,0.00847457627118644,0.024800496965642474,0.0,0.0,0.0,0.04187517816270575,0.013250139360657956,0.0,0.013250139360657956,True,2024
0.0,0.065,0.01,5,27,0.7080326850480241,0.00847457627118644,0.024800496965642474,0.0,0.0,0.0,0.04187517816270575,0.013250139360657956,0.0,0.013250139360657956,True,2024
0.0,0.065,0.02,5,27,0.7080326850480241,0.00847457627118644,0.024800496965642474,0.0,0.0,0.0,0.04187517816270575,0.013250139360657956,0.0,0.013250139360657956,True,2024
